,SandyLoam_D85_REFERENCE,SandyLoam_D85_20150126,SandyLoam_D85_20150307,SandyLoam_D85_20150401,SandyLoam_D85_20150526,SandyLoam_D85_20150923,SandyLoam_D85_20151102
2000-10-10,8.485549926757812,8.485549926757812,8.485549926757812,8.485549926757812,8.485549926757812,8.485549926757812,8.485549926757812
2000-10-11,8.485960960388184,8.485960960388184,8.485960960388184,8.485960960388184,8.485960960388184,8.485960960388184,8.485960960388184
2000-10-12,8.486759185791016,8.486759185791016,8.486759185791016,8.486759185791016,8.486759185791016,8.486759185791016,8.486759185791016
2000-10-13,8.488146781921387,8.488146781921387,8.488146781921387,8.488146781921387,8.488146781921387,8.488146781921387,8.488146781921387
2000-10-14,8.490378379821777,8.490378379821777,8.490378379821777,8.490378379821777,8.490378379821777,8.490378379821777,8.490378379821777
2000-10-15,8.49399471282959,8.49399471282959,8.49399471282959,8.49399471282959,8.49399471282959,8.49399471282959,8.49399471282959
2000-10-16,8.499266624450684,8.499266624450684,8.499266624450684,8.499266624450684,8.499266624450684,8.499266624450684,8.499266624450684
2000-10-17,8.505600929260254,8.505600929260254,8.505600929260254,8.505600929260254,8.505600929260254,8.505600929260254,8.505600929260254
2000-10-18,8.512164115905762,8.512164115905762,8.512164115905762,8.512164115905762,8.512164115905762,8.512164115905762,8.512164115905762
2000-10-19,8.518356323242188,8.518356323242188,8.518356323242188,8.518356323242188,8.518356323242188,8.518356323242188,8.518356323242188
2000-10-20,8.524027824401855,8.524027824401855,8.524027824401855,8.524027824401855,8.524027824401855,8.524027824401855,8.524027824401855
2000-10-21,8.529162406921387,8.529162406921387,8.529162406921387,8.529162406921387,8.529162406921387,8.529162406921387,8.529162406921387
2000-10-22,8.533822059631348,8.533822059631348,8.533822059631348,8.533822059631348,8.533822059631348,8.533822059631348,8.533822059631348
2000-10-23,8.538322448730469,8.538322448730469,8.538322448730469,8.538322448730469,8.538322448730469,8.538322448730469,8.538322448730469
2000-10-24,8.542901039123535,8.542901039123535,8.542901039123535,8.542901039123535,8.542901039123535,8.542901039123535,8.542901039123535
2000-10-25,8.547462463378906,8.547462463378906,8.547462463378906,8.547462463378906,8.547462463378906,8.547462463378906,8.547462463378906
2000-10-26,8.551929473876953,8.551929473876953,8.551929473876953,8.551929473876953,8.551929473876953,8.551929473876953,8.551929473876953
